Day,Start_Time,End_Time,Activity,IDS_Team_Status,EM_Op_Status,MD_Op_and_Drone_Status
Thursday,10:30,11:30,Session 2 (Polygons 3-4),Op C + D (Ends 11:30),Op A (Ends 11:10),Op B (Ends 11:00)
Thursday,11:30,12:00,Morning Break,,,
Thursday,12:00,12:20,Setup Polygons 5-6,,,
Thursday,12:20,13:20,Session 3 (Polygons 5-6),Op A + B (Ends 13:20),Op D (Ends 13:00),Op C (Ends 12:50)
Thursday,13:20,14:20,Full Lunch Break,,,
Thursday,14:20,14:40,Setup Polygons 7-8,,,
Thursday,14:40,15:40,Session 4 (Polygons 7-8),Op C + D (Ends 15:40),Op B (Ends 15:20),Op A (Ends 15:10) | Drone 2 (15:10-15:40)
Thursday,15:40,16:00,Setup Polygons 9-10,,,
Thursday,16:00,17:00,Session 5 (Polygons 9-10),Op A + B (Ends 17:00),Op C (Ends 16:40),Op D (Ends 16:30)
Thursday,17:00,17:20,Setup Polygon 11,,,
Thursday,17:20,17:50,Session 6 (Polygon 11),Op C (Ends 17:50),Op A (Ends 17:40),Op B (Ends 17:35)
Thursday,17:50,18:10,Final pack-up,,,
Thursday,18:10,18:30,Return Drive,,,
Friday,08:30,08:50,Drive to field,,,
Friday,08:50,09:10,Setup Polygons 1-2,,,
Friday,09:10,10:10,Session 1 (Polygons 1-2),Op A + B (Ends 10:10),Op C (Ends 09:50),Op D (Ends 09:40) | Drone 1 (09:40-10:10)
Friday,10:10,10:30,Setup Polygons 3-4,,,
Friday,10:30,11:30,Session 2 (Polygons 3-4),Op C + D (Ends 11:30),Op A (Ends 11:10),Op B (Ends 11:00)
Friday,11:30,11:50,Setup Polygons 5-6,,,
Friday,11:50,12:50,Session 3 (Polygons 5-6),Op A + B (Ends 12:50),Op D (Ends 12:30),Op C (Ends 12:20)
Friday,12:50,13:50,Full Lunch Break,,,
Friday,13:50,14:10,Setup Polygons 7-8,,,
Friday,14:10,15:10,Session 4 (Polygons 7-8),Op C + D (Ends 15:10),Op B (Ends 14:50),Op A (Ends 14:40) | Drone 2 (14:40-15:10)
Friday,15:10,15:40,Afternoon Break,,,
Friday,15:40,16:00,Setup Polygons 9-10,,,
Friday,16:00,17:00,Session 5 (Polygons 9-10),Op A + B (Ends 17:00),Op C (Ends 16:40),Op D (Ends 16:30)
Friday,17:00,17:20,Final pack-up,,,
Friday,17:20,17:40,Return Drive,,,
